timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1218887100,Aug 16 2008 - 11:45am,complete,N/A,Arsenal,West Bromwich Albion,N/A,N/A,0.00,0.00,2.00,0.42,1,0,1,1,1,0,"4","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Emirates Stadium (London)
1218895200,Aug 16 2008 - 2:00pm,complete,N/A,West Ham United,Wigan Athletic,N/A,N/A,0.00,0.00,1.53,0.84,2,1,3,2,2,0,"4,10","48",-1,-1,2,0,1,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Boleyn Ground (London)
1218895200,Aug 16 2008 - 2:00pm,complete,N/A,Middlesbrough,Tottenham Hotspur,N/A,N/A,0.00,0.00,1.26,0.84,2,1,3,0,0,0,"71,87","90",-1,-1,1,0,2,0,0,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Riverside Stadium (Middlesbrough)
1218895200,Aug 16 2008 - 2:00pm,complete,N/A,Hull City,Fulham,N/A,N/A,0.00,0.00,0.74,0.89,2,1,3,2,1,1,"23,81","8",-1,-1,3,0,0,0,2,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,KCOM Stadium (Hull)
1218895200,Aug 16 2008 - 2:00pm,complete,N/A,Everton,Blackburn Rovers,N/A,N/A,0.00,0.00,1.58,0.84,2,3,5,2,1,1,"44,64","21,66,90",-1,-1,2,0,2,0,0,2,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Goodison Park (Liverpool)
1218895200,Aug 16 2008 - 2:00pm,complete,N/A,Bolton Wanderers,Stoke City,N/A,N/A,0.00,0.00,1.37,0.53,3,1,4,3,3,0,"34,41,44","90",-1,-1,1,0,2,0,0,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,University of Bolton Stadium (Bolton)
1218904200,Aug 16 2008 - 4:30pm,complete,N/A,Sunderland,Liverpool,N/A,N/A,0.00,0.00,1.11,2.26,0,1,1,0,0,0,"","83",-1,-1,0,0,2,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stadium of Light (Sunderland)
1218976200,Aug 17 2008 - 12:30pm,complete,N/A,Chelsea,Portsmouth,N/A,N/A,0.00,0.00,2.05,0.74,4,0,4,3,3,0,"13,26,44,89","",-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stamford Bridge (London)
1218981600,Aug 17 2008 - 2:00pm,complete,N/A,Aston Villa,Manchester City,N/A,N/A,0.00,0.00,1.58,0.58,4,2,6,0,0,0,"46,67,74,76","64,90",-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Villa Park (Birmingham)
1218985200,Aug 17 2008 - 3:00pm,complete,N/A,Manchester United,Newcastle United,N/A,N/A,0.00,0.00,2.63,0.63,1,1,2,2,1,1,"24","22",-1,-1,3,0,0,0,0,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Old Trafford (Manchester)
1219500000,Aug 23 2008 - 2:00pm,complete,N/A,West Bromwich Albion,Everton,N/A,N/A,0.00,0.00,1.26,1.74,1,2,3,0,0,0,"89","65,76",-1,-1,3,0,1,0,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,The Hawthorns (West Bromwich)
1219500000,Aug 23 2008 - 2:00pm,complete,N/A,Tottenham Hotspur,Sunderland,N/A,N/A,0.00,0.00,1.84,0.79,1,2,3,0,0,0,"73","55,82",-1,-1,1,0,2,0,1,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,White Hart Lane (London)
1219500000,Aug 23 2008 - 2:00pm,complete,N/A,Stoke City,Aston Villa,N/A,N/A,0.00,0.00,1.84,1.68,3,2,5,1,1,0,"30,80,90","63,83",-1,-1,1,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bet365 Stadium (Stoke-on-Trent- Staffordshire)
1219500000,Aug 23 2008 - 2:00pm,complete,N/A,Newcastle United,Bolton Wanderers,N/A,N/A,0.00,0.00,1.16,0.79,1,0,1,0,0,0,"71","",-1,-1,1,0,2,0,0,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,St. James' Park (Newcastle upon Tyne)
1219500000,Aug 23 2008 - 2:00pm,complete,N/A,Liverpool,Middlesbrough,N/A,N/A,0.00,0.00,2.26,0.42,2,1,3,0,0,0,"86,90","69",-1,-1,2,0,1,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Anfield (Liverpool)
1219500000,Aug 23 2008 - 2:00pm,complete,N/A,Blackburn Rovers,Hull City,N/A,N/A,0.00,0.00,1.32,1.11,1,1,2,2,1,1,"38","40",-1,-1,0,0,1,0,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Ewood Park (Blackburn- Lancashire)
1219509000,Aug 23 2008 - 4:30pm,complete,N/A,Fulham,Arsenal,N/A,N/A,0.00,0.00,1.89,1.79,1,0,1,1,1,0,"21","",-1,-1,2,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Craven Cottage (London)
1219581000,Aug 24 2008 - 12:30pm,complete,N/A,Wigan Athletic,Chelsea,N/A,N/A,0.00,0.00,1.53,2.32,0,1,1,1,0,1,"","5",-1,-1,1,0,2,0,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DW Stadium (Wigan)
1219590000,Aug 24 2008 - 3:00pm,complete,N/A,Manchester City,West Ham United,N/A,N/A,0.00,0.00,2.05,1.16,3,0,3,0,0,0,"65,70,76","",-1,-1,0,0,2,1,0,0,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Etihad Stadium (Manchester)
